seed,model,variant,condition,n,positives,prevalence,average_precision,roc_auc,brier,positive_brier,negative_brier,log_loss,ece_15,mean_probability,accuracy_at_half,frozen_threshold,frozen_alerts,frozen_alert_rate,frozen_tp,frozen_fp,frozen_precision,frozen_recall
17,word_balanced,raw,combined_0.50,40000,200,0.005,0.064502503077894,0.9672603015075376,0.040432137748128344,0.27305589005213443,0.03926317416871123,0.22424838468160369,0.04366098241804711,0.04684808852005471,0.95875,0.08851965682413587,1954,0.04885,182,1772,0.0931422722620266,0.91
17,word_balanced,calibrated,combined_0.50,40000,200,0.005,0.064502503077894,0.9672603015075376,0.041189717275615545,0.3780499101241203,0.0394969524874321,0.48080886004925516,0.04134922753373257,0.04225005076066539,0.95855,0.0020324245389853365,1954,0.04885,182,1772,0.0931422722620266,0.91
17,word_balanced,raw,combined_0.75,40000,200,0.005,0.039668410738459274,0.9442126884422111,0.061466994633411536,0.4064879871414116,0.05973322080171303,0.3388306260118011,0.06432274524722682,0.06633375271552172,0.937225,0.08851965682413587,2764,0.0691,178,2586,0.06439942112879884,0.89
17,word_balanced,calibrated,combined_0.75,40000,200,0.005,0.039668410738459274,0.9442126884422111,0.06268718020369524,0.5676127054448331,0.0601498660065036,0.731715789608982,0.06295703330639897,0.06174192366916577,0.936875,0.0020324245389853365,2764,0.0691,178,2586,0.06439942112879884,0.89
17,word_unweighted,raw,id,40000,200,0.005,1.0,1.0,0.0005107697746917533,0.10035184591095433,9.055824258273152e-06,0.0034558134960678117,0.0031240064295109038,0.005007262696574297,1.0,0.024819689014876804,409,0.010225,200,209,0.4889975550122249,1.0
17,word_unweighted,calibrated,id,40000,200,0.005,1.0,1.0,1.359751110322491e-06,0.0002717271456224916,1.1209871457618698e-09,6.063336091407312e-05,5.993505510847832e-05,0.0049457866029591095,1.0,0.00020537206866812384,409,0.010225,200,209,0.4889975550122249,1.0
17,word_unweighted,raw,positive_paraphrase,40000,200,0.005,0.5261618398912062,0.9945261306532662,0.004701008396838148,0.9383995703402331,9.055824258273152e-06,0.020175277212862837,0.003276566550533792,0.0017234334494662083,0.995,0.024819689014876804,302,0.00755,93,209,0.3079470198675497,0.465
17,word_unweighted,calibrated,positive_paraphrase,40000,200,0.005,0.5261618398912062,0.9945261306532662,0.004985995814732612,0.9971989398700805,1.1209871457618698e-09,0.04272477111162812,0.0049901084481086795,9.89155189132056e-06,0.995,0.00020537206866812384,302,0.00755,93,209,0.3079470198675497,0.465
17,word_unweighted,raw,benign_context,40000,200,0.005,0.04951209637998802,0.9551152010050251,0.040258540926661784,0.10035184591095433,0.039956564519705536,0.10176475870646827,0.055913063673402055,0.06084144844527989,0.92075,0.024819689014876804,3561,0.089025,200,3361,0.05616399887672002,1.0
17,word_unweighted,calibrated,benign_context,40000,200,0.005,0.04951209637998802,0.9551152010050251,0.07790595169769177,0.0002717271456224916,0.07829607342910919,0.4014505868891802,0.07851794036718843,0.08351794036718843,0.92075,0.00020537206866812384,3561,0.089025,200,3361,0.05616399887672002,1.0
17,word_unweighted,raw,combined,40000,200,0.005,0.028043836076848815,0.9152699748743719,0.04444877954880817,0.9383995703402331,0.039956564519705536,0.11848422242326329,0.05935543043752837,0.0575576191981718,0.91575,0.024819689014876804,3454,0.08635,93,3361,0.02692530399536769,0.465
17,word_unweighted,calibrated,combined,40000,200,0.005,0.028043836076848815,0.9152699748743719,0.08289058776131406,0.9971989398700805,0.07829607342910919,0.4441147246398943,0.08356269347489183,0.07858204531612063,0.91575,0.00020537206866812384,3454,0.08635,93,3361,0.02692530399536769,0.465
17,char_balanced,raw,id,40000,200,0.005,1.0,1.0,8.845225996696362e-05,2.2314998240661166e-05,8.878460801583952e-05,0.0043268928794062515,0.0042799863362108295,0.009234533522074512,1.0,0.07977789502454033,407,0.010175,200,207,0.4914004914004914,1.0
17,char_balanced,calibrated,id,40000,200,0.005,1.0,1.0,7.656732125090926e-08,1.3391659700420123e-10,7.695140871148161e-08,2.4365400945842863e-05,2.4327018551411522e-05,0.005024231130069526,1.0,0.0017526484907256193,407,0.010175,200,207,0.4914004914004914,1.0
17,char_balanced,raw,positive_paraphrase,40000,200,0.005,0.8652547229493792,0.9984763819095478,0.0028819423129810575,0.5587203256010593,8.878460801583952e-05,0.012297621471007937,0.0053811494641664665,0.005746172692575606,0.996075,0.07977789502454033,380,0.0095,173,207,0.45526315789473687,0.865
