seed,condition,slice_type,slice,n,positives,reviewed,tp,recall
101,combined_0.25,category,benign,39800,0,375,0,
101,combined_0.25,category,control_bypass,54,54,13,13,0.24074074074074073
101,combined_0.25,category,data_disclosure,47,47,7,7,0.14893617021276595
101,combined_0.25,category,deceptive_reporting,57,57,0,0,0.0
101,combined_0.25,group,explicit_event,141,141,25,25,0.1773049645390071
101,combined_0.25,group,familiar_benign_quotation,356,0,0,0,
101,combined_0.25,group,ordinary_benign,38628,0,0,0,
101,combined_0.25,group,paraphrased_event,59,59,0,0,0.0
101,combined_0.25,group,shifted_benign_context,816,0,375,0,
101,combined_0.50,category,audit_tampering,42,42,0,0,0.0
101,combined_0.50,category,benign,39800,0,395,0,
101,combined_0.50,category,control_bypass,54,54,2,2,0.037037037037037035
101,combined_0.50,category,data_disclosure,47,47,3,3,0.06382978723404255
101,combined_0.50,category,deceptive_reporting,57,57,0,0,0.0
101,combined_0.50,group,explicit_event,90,90,5,5,0.05555555555555555
101,combined_0.50,group,familiar_benign_quotation,349,0,0,0,
101,combined_0.50,group,ordinary_benign,37857,0,0,0,
101,combined_0.50,group,paraphrased_event,110,110,0,0,0.0
101,combined_0.50,group,shifted_benign_context,1594,0,395,0,
101,combined_0.75,category,audit_tampering,42,42,0,0,0.0
101,combined_0.75,category,benign,39800,0,400,0,
101,combined_0.75,category,control_bypass,54,54,0,0,0.0
101,combined_0.75,category,data_disclosure,47,47,0,0,0.0
101,combined_0.75,category,deceptive_reporting,57,57,0,0,0.0
101,combined_0.75,group,explicit_event,43,43,0,0,0.0
101,combined_0.75,group,familiar_benign_quotation,345,0,0,0,
101,combined_0.75,group,ordinary_benign,36976,0,0,0,
101,combined_0.75,group,paraphrased_event,157,157,0,0,0.0
101,combined_0.75,group,shifted_benign_context,2479,0,400,0,
